Factor_1;Factor_2;Factor_3;Factor_4;Factor_5;Factor_6;Factor_7;Factor_8;Factor_9;Factor_10;Factor_11;Factor_12;Factor_13;Factor_14;Factor_15;Factor_16;Factor_17;Factor_18;Factor_19;Factor_20;Factor_21;Factor_22;Factor_23;Factor_24;Factor_25;Factor_26;Factor_27;Factor_28;Factor_29;Factor_30;Factor_31;Factor_32;Factor_33;Factor_34;Factor_35;Factor_36;Factor_37;Factor_38;Factor_39;Factor_40;Factor_41;Factor_42;Factor_43;Factor_44;Factor_45;Factor_46;Factor_47;Factor_48;Factor_49;Factor_50;Factor_51;Factor_52;Factor_53;Factor_54;Factor_55;Factor_56;Factor_57;Factor_58;Factor_59;Factor_60;Factor_61;Factor_62;Factor_63;Factor_64;Factor_65;Factor_66;Factor_67;Factor_68;Factor_69;Factor_70;Factor_71;Factor_72;Factor_73;Factor_74;Factor_75;STATUS
0;0.12605;1;0;0;0;0;0;0;0;0;0;1004;0;0;15;0;0;0;0;0;0;0;0;0;0;0;1004;0;0;0;99411;0;0;0;0;0;0;15;0;0;0;7.5;0;49705.5;0;0;7.5;0;0;57153;0;99411;0;1;0;1;0;0;0;1;0;0;0;46224;0;1;0.5;3858;0;0;0;0;0;0;0
0.25;0.19375;0.875;0;1;0;0;0;0;1;0.5;24;21;2;0;62;1;0.5;0;0;0.5;1;1;0.5;1;1;0;21;0.5;38;0.5;781523;21;0;3.25;2;0;0;23;2;0;23;7.75;0;97690.375;7.6;0;7.75;23;0;228771;0;781523;0;3;0;0.4;0.5;0;0;1;0;1031000;0;482360;0;0.625;0.625;1090;0.009375;0;0;0;0;0;1
0.62069;0.432836;0.793103;418222;5;1.461538;11585.84615;315460;151117;6;0.555556;192;3;8;73;290;0.833333;0.625;141;0.517241;0.555556;1;0.833333;0.666667;5;0.888889;27881.46667;27;0.625;204;0.75;1222369;3;0.538462;2.928571;9;5088.727273;15;83;18;75000;83;24.111111;0.428571;42150.65517;25.5;19;10;83;5;182785;0.428571;1071753;0;12;0.037771;0.75;0;5;0.538462;0.275862;0.723185;100000;0.103448;68637.375;1;0.103448;0.172414;5;0.001493;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;11000;1;0;0;0;0;10;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.740741;0;1;0;0;2500;1;0;0;0;0;0;0;0;0;0;0;0;1
0.333333;0.011299;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;1;0;0.666667;2;0;0;0;0;0;0;0;0;0.142857;0;1;0.666667;0;24380;0.333333;24380;0;0;0.333333;8;0;0;0;0;0;0;1
0.428571;0.197368;0.714286;11056;2;1.5;14959.5;10499;5702;2;0.666667;11;15;2;6;15;1;1;8;0.285714;0.333333;0.5;0.5;0.666667;1;0.666667;5528;15;0.5;15;1;55465;15;0.5;0;3;5702;2;5;3;5500;5;2.25;0;7923.571429;3;3;2.142857;5;3;24217;0;25546;5702;2;0;0.6;0;0;0;0.428571;0;39952;0;17288.2;0;0.142857;0.285714;137;0.039474;0;0;7;0;0;1
0.75;0.636364;0.75;29598;3;1.75;9829.5;63000;16598;3;1;7;14;3;5;7;1;1;5;0.5;1;1;1;1;3;1;14799;0;1;0;1;39318;14;0.75;2;3;9829.5;2;4;3;50000;0;2;0.666667;9829.5;0;7;1.75;4;4;0;0.333333;0;0;0;0;0;0;2;0.5;0;0.330637;50000;0.5;0;1;0;0;18;0.090909;1;0;1;0;1;0
0.906977;0.720848;0.930233;377005;6;2.241379;10785.82759;602036;42000;6;0.206897;177;6;11;112;204;1;0.545455;152;0.813953;0.137931;0.666667;0.666667;0.206897;4;0.37931;10771.57143;6;0.363636;112;0.545455;1632021;6;0.896552;6.5;29;11415;35;27;39;304400;27;18.4;0.333333;37953.97674;5.894737;65;4.744186;25;9;454368;0.333333;1319232;0;13;0.03828;0.842105;0.25;2;0.206897;0.116279;0.402182;304400;0;57966.94737;2;0;0.116279;28;0.003534;0;0;0;0;0;0
0.75;0.693333;0.75;9910;1;0.5;684.5;29931;8541;1;1;52;36;1;11;52;1;1;15;0.5;0;0;0;1;0;1;4955;36;0;11;1;44090;36;0.5;0.5;1;684.5;2;41;3;25000;10;41;0.5;11022.5;5.5;1;13;41;1;8541;0.5;42721;0;2;0.032045;0.5;0.333333;1;1;0.25;1;25000;0.25;14965.5;0;0;0.5;7;0.546667;0;0;0;0;0;0
1;0.75;1;7280;1;1.5;3640;106000;7080;1;0.5;3;35;2;3;3;1;0.5;4;1;0;0;0;0.5;0;1;3640;35;0;2;0.5;7280;35;1;2;2;3640;2;2;2;100000;2;0;1;3640;2;3;1.5;2;2;200;1;0;200;0;0;0;0.04;1;0.5;0;0.027473;100000;0;100000;0;0;0;49;0.25;0;0;0;0;0;0
0.5;0.141176;0.875;10660;0;0;0;10000;5100;0;0;18;589;0;3;36;0;0;3;0.375;0;0;0;0;0;0;3553.333333;1085;0;15;0;1250371;589;0;4.5;0;0;3;17;4;5000;15;6.6;0;156296.375;7.5;0;4.5;15;0;64981;0;1250371;0;4;0;0.5;0.333333;0;0;0.625;0;1080000;0;81582;0;0;1.125;891;0.003922;0;0;0;0;0;0
0.5;0.085106;0.5;16278;0;1;5289;13131;5847;0;0;16;283;0;14;16;0;0;22;0.375;0;0;0;0;0;0;5426;283;0;4;0;28803;822;1;0;2;0;3;12;4;5000;2;0.5;0;3600.375;0.8;2;2;12;1;12525;0;18225;0;2;0;0.6;1;0;0;0.5;0;55353;0;17596.6;0;0.25;0.25;329;0.005319;0;0;0;0;0;1
0.416667;0.427504;0.833333;357047;6;0.833333;5240.333333;378541;150871;6;1;79;26;6;45;286;1;1;50;0.375;0.166667;0.166667;0.166667;1;1;1;39671.88889;730;0.166667;60;1;2284472;730;0.833333;15.555556;6;5240.333333;9;34;10;100001;25;18.538462;0.222222;95186.33333;8.571429;5;11.916667;34;1;150871;0.222222;2253030;2300;5;0.013955;0.285714;0.125;0;1;0.541667;1;100001;0;84219.85714;0;0.333333;0.458333;36;0.001495;0;0;0;0;0;0
0;0.689189;1;0;0;0;0;0;0;0;0;0;3740;0;0;51;0;0;0;0;0;0;0;0;0;0;0;3740;0;51;0;449;0;0;0;0;0;0;51;0;0;51;51;0;449;51;0;51;0;0;449;0;449;0;0;0;0;1;0;0;1;0;0;0;4490;0;1;0;3967;0;0;0;0;0;0;1
1;0.969231;1;69313;0;0;0;50794;23994;0;0;63;554;0;51;63;0;0;52;0.8;0;0;0;0;0;0;17328.25;554;0;63;0;86287;0;0;0;0;0;4;13;5;17656;13;12;0;17257.4;12.6;0;12.6;13;0;23994;0;86287;0;5;0;1;1;0;0;0.2;0;0;0;12538.4;0;0;0;921;0.2;0;0;0;0;0;0
0.8;0.338235;1;177924;0;0;0;175858;150000;0;0;39;1523;0;28;46;0;0;35;0.4;0;0;0;0;0;0;88962;1523;0;37;0;263606;1638;0;7;0;0;2;26;4;150000;26;6;0;52721.2;12.333333;0;9.2;26;0;150000;0;263606;0;2;0;0.333333;0;0;0;0.6;0;20000;0;195066.6667;1;0.2;0.6;1652;0.191176;0;0;0;0;0;0
0.666667;0.290323;0.583333;36005;5;0.818182;3273.181818;50138;19200;6;0.714286;9;19;7;9;9;0.833333;0.714286;12;0.666667;0.285714;0.4;0.333333;0.857143;2;1;4500.625;0;0.285714;0;0.857143;36005;23;0.727273;0.6;7;3273.181818;8;2;8;16638;0;0;0.4;3000.416667;0;9;0.75;2;2;0;0.4;0;0;1;0;0;0.275862;2;0.909091;0.083333;0.983058;22000;0.25;0;0;0.083333;0.083333;16;0.032258;0;0;0;0;0;0
0.909091;0.5;0.909091;74685;2;0.909091;6789.545455;59724;8158;3;0.2;10;2;6;10;10;0.666667;0.333333;19;0.909091;0.1;0.5;0.333333;0.3;1;0.6;7468.5;2;0.166667;10;0.5;74685;0;0.909091;0;10;6732.666667;10;1;10;6180;1;0;0;6789.545455;0.909091;10;0.909091;1;1;8158;0;0;0;0;0;0.909091;0;0;0.272727;0;0.400287;6164;0.090909;5989.818182;0;0;0;2;0.05;0;0;0;0;0;1
0.8;0.882576;1;214515;0;0;0;188400;148117;0;0;127;100;3;72;233;0;0;76;0.5;0;0;0;0;0;0.75;42903;184;0;48;0;1096210;100;0;46.25;4;0;5;54;8;136800;12;32.2;0.5;109621;8;0;23.3;42;0;148117;0.25;1096210;0;6;0;1;0.75;0;0;0.5;0;83500;0;36618.5;1;0;0.2;549;0.045455;0;0;0;0;0;0
1;0.808824;0.666667;43482;0;0;0;85286;37320;0;0;55;1130;0;55;55;0;0;68;1;0;0;0;0;0;0;14494;1130;0;55;0;43482;0;0;0;0;0;3;26;3;50000;26;0;0;14494;18.333333;0;18.333333;26;0;37320;0;43482;0;3;0;1;0;0;0;0;0;0;0;28428.66667;0;0;0;1854;0.382353;0;0;0;0;0;0
1;0.552632;1;0;2;0;0;0;0;2;1;21;16;2;0;21;1;1;0;0;1;1;1;1;2;1;0;25;1;4;1;284891;16;0;10.5;2;0;0;17;2;0;4;10.5;1;142445.5;4;0;10.5;17;0;226191;0;284891;0;0;0;0;0.5;0;0;1;0;350000;0;350000;0;0;0.5;551;0;0;0;0;0;0;0
0;0.55;1;0;0;0;0;0;0;0;0;0;265;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169642;265;0;33;1;0;0;33;0;0;0;33;0;169642;0;0;33;0;0;0;0;169642;0;0;0;0;0;0;0;1;0;45000;0;0;0;1;0;1829;0;0;0;0;0;0;0
0.842105;0.35;0.684211;54800;5;1.444444;5081.333333;170999;12400;6;0.625;119;7;7;21;119;0.833333;0.714286;36;0.578947;0.5;0.8;0.666667;0.75;4;0.875;4981.818182;7;0.571429;35;0.857143;223037;7;0.777778;1.428571;8;5081.333333;11;49;16;40000;16;19.6;0.571429;11738.78947;8.75;13;6.263158;49;5;48773;0.428571;177305;0;9;0.109754;0.75;0;4;0.666667;0.210526;0.425523;100000;0.052632;18567.5;6;0;0.210526;14;0.002941;1;0;1;0;1;0
0.333333;0.22541;0.666667;35280;0;0;0;20000;35280;0;0;40;1175;0;8;55;0;0;9;0.166667;0;0;0;0;0;0;35280;1930;0;40;0;190104;0;0;0;0;0;1;32;2;20000;32;11.75;0;31684;10;0;9.166667;32;0;83074;0;190104;0;2;0;0.5;0.75;0;0;0.666667;0;62000;0;35500;0;0.333333;0.333333;1083;0.131148;0;0;0;0;0;1
0.875;0.682171;0.875;249640;4;1;7293.142857;139544;137174;4;0.444444;88;10;7;47;88;1;0.571429;80;0.75;0.333333;0.75;0.75;0.444444;3;0.777778;20803.33333;10;0.428571;55;0.571429;591265;10;0.714286;8.4;9;5600;12;39;14;28000;39;20.5;0.6;36954.0625;13.75;7;5.5;39;2;321553;0.4;540213;0;8;0.041465;0.5;0.2;2;0.571429;0.0625;1;336000;0.0625;97698.5;1;0;0;17;0.007752;0;0;0;1;0;0
1;0.873016;0.666667;19915;0;0;0;10000;19915;0;0;55;843;0;18;55;0;0;21;0.333333;0;0;0;0;0;0;19915;1288;0;7;0;33559;843;0;18;0;0;1;30;3;10000;7;18.5;1;11186.33333;7;0;18.333333;30;0;13644;1;33559;0;2;0;1;0;0;0;0.666667;0;10000;0;12637;1;0;0;1420;0.111111;0;0;0;0;0;0
1;0.703704;1;182013;2;8;86410;78172;137131;2;1;57;16;2;49;57;1;1;72;0.75;0.5;0.5;0.5;1;1;1;60671;4274;0.5;11;1;268423;16;1;23;2;0;3;38;4;40000;6;8;1;67105.75;5.5;8;14.25;38;8;33990;0.5;182013;0;2;0;1;0;1;0;0;0;51000;0;19086;1;0;0;271;0.061728;0;0;1;0;0;0
0.5;0.486726;0.333333;0;1;1;2975;500;0;1;1;55;12;1;33;55;1;1;71;0.166667;1;1;1;1;1;1;0;1903;1;18;1;116253;12;0.25;7.4;1;2975;1;33;3;500;18;11;0.4;19375.5;18;4;9.166667;33;4;104353;0.2;104353;0;0;0;0;0.266667;1;0.75;0.166667;0;10400;0.166667;70000;1;0;0.166667;8;0;1;0;1;0;1;1
0.2;0.083333;0.4;0;2;0.25;750;2000;0;2;1;1;14;2;1;1;1;1;1;0.2;1;1;1;1;2;1;0;0;1;0;1;3000;0;0.25;0;2;750;1;1;1;2000;0;0;0;600;0;1;0.2;1;1;0;0;0;0;0;0;0;0.307692;0;1;0.2;1;5000;0.8;0;0;0.2;0.2;14;0;0;0;0;0;0;1
0.333333;0.030303;1;0;0;0;0;0;0;0;0;3;1165;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1165;0;3;0;244688;2054;0;0;0;0;0;3;1;0;3;1;0;81562.66667;1.5;0;1;3;0;134190;0;244688;0;0;0;0;1;0;0;1;0;115000;0;16323;0;0.333333;0.666667;2007;0;0;0;0;0;0;1
0.5;0.241509;0.727273;210617;3;0.666667;4676;183000;98348;3;1;142;8;3;40;192;1;1;45;0.272727;1;1;1;1;3;1;35102.83333;795;1;127;1;3662530;21;0.5;0.333333;3;4676;6;31;11;80000;31;11.692308;0.166667;166478.6364;12.7;4;8.727273;31;2;148719;0.166667;3634474;0;9;0.007719;0.6;0.4;1;1;0.590909;1;81674;0.181818;58067;0;0.227273;1.545455;4;0.001258;0;0;0;0;0;0
0.454545;0.68254;0.454545;194047;4;2.2;22008.3;137500;186884;4;1;43;19;4;35;43;1;1;47;0.363636;0.25;0.25;0.25;1;1;1;48511.75;19;0.25;8;1;220683;19;0.4;2.625;4;1445.375;4;21;5;120000;8;8;0.375;20062.09091;8;22;3.909091;21;12;21636;0.25;600;0;1;19.271667;0;0.625;3;0.8;0;1;120000;0.545455;36545;2;0;0;6;0;0;0;1;0;0;1
0.818182;0.553299;1;68627;2;0;0;61877;37785;2;0.666667;203;27;2;20;218;1;1;23;0.272727;0.333333;0.5;0.5;0.666667;1;0.666667;22875.66667;210;0.5;95;1;1479589;27;0;24;3;0;3;57;9;32700;34;24.75;0.333333;134508.0909;13.571429;0;19.818182;57;0;277437;0;1479589;0;8;0;0.857143;0;0;0;0.727273;0;81088;0;73121;0;0.090909;1.363636;1053;0.050761;0;0;0;0;0;0
0.777778;0.838174;1;686752;2;0;0;605831;274240;2;0.666667;174;32;2;142;202;1;1;146;0.666667;0;0;0;0.666667;0;0.666667;114458.6667;32;0;104;1;955548;32;0;14;3;0;6;60;7;216000;31;20;0;106172;17.333333;0;22.444444;60;0;144653;0;955548;0;7;0;0.666667;0.333333;0;0;0.333333;0;200000;0;111638.5;1;0.222222;0.111111;511;0.128631;0;0;0;0;0;0
0;0.264151;1;0;0;0;0;0;0;0;0;0;3213;0;0;14;0;0;0;0;0;0;0;0;0;0;0;3213;0;14;0;150700;0;0;0;0;0;0;14;0;0;14;14;0;150700;14;0;14;0;0;150700;0;150700;0;0;0;0;0.777778;0;0;1;0;0;0;726000;0;1;0;3487;0;0;0;0;0;0;0
0;0.108434;1;0;0;0;0;0;0;0;0;0;739;0;0;9;0;0;0;0;0;0;0;0;0;0;0;739;0;6;0;44492;1014;0;2.5;0;0;0;4;0;0;4;3;0;14830.66667;3;0;3;0;0;15080;0;44492;0;0;0;0;0;0;0;1;0;20000;0;10408;0;1;1;839;0;0;0;0;0;0;1
0.8125;0.339943;0.8125;18316;2;0.666667;2705.666667;20102;10150;2;1;119;7;2;33;120;1;1;101;0.3125;1;1;1;1;2;1;3663.2;1140;1;108;1;310834;0;0.666667;0;2;2705.666667;5;34;13;6843;34;8.7;0;19427.125;9;2;7.5;34;1;121741;0;302717;0;11;0.026814;0.833333;0.857143;0;1;0.625;1;4999;0.125;19361.75;1;0;0.6875;8;0.002833;0;0;0;0;0;1
0.5;0.072;0.5;7983;2;0.75;1995.75;11000;3357;3;0.666667;8;17;3;4;9;0.666667;0.666667;7;0.4;0.333333;0.5;0.333333;1;1;1;1995.75;47;0.333333;5;1;74985;0;0.75;0.2;3;1995.75;4;4;5;4000;4;1.25;0.2;7498.5;1.666667;3;0.9;4;1;13100;0.2;67002;0;1;0.119146;0.666667;0;0;1;0.4;1;95012;0;36704;0;0.2;0.4;33;0.008;0;0;0;0;0;1
0;0;1;0;1;0;250;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;250;1;0;0;1;250;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;250;0;0;0;1;0;1;0;1;2000;1;0;0;0;0;1;0;0;0;0;0;0;0
0.428571;0.166667;0.857143;15241;1;0.428571;7070.142857;10439;6641;3;0.166667;3;29;3;3;3;0.333333;0.333333;6;0.428571;0.166667;1;0.333333;0.5;1;0.5;5080.333333;29;0.333333;3;1;49491;0;0.428571;0;6;5697.5;3;1;3;4150;1;0;0;7070.142857;1;3;0.428571;1;1;6641;0;0;0;0;0;1;0.285714;0;0.428571;0;0.377358;6300;0;3479.666667;0;0;0.142857;66;0.055556;3;4;1;3;3;1
0;0.022222;0.5;0;1;0;195;0;0;1;1;0;7;1;0;5;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;180089;7;0;0;1;195;0;5;0;0;0;1.25;0;45022.25;0;0;1.25;0;0;0;0;179894;195;1;0.001084;0;0.333333;0;1;0.75;1;581075;0;0;0;0.25;0.25;37;0;2;2;2;0;2;1
0.5;0.333333;0;0;0;0.5;0;5250;0;0;0;1;0;0;1;1;0;0;1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;1;1;1;5250;0;0;0.5;0;0;1;0.5;1;1;0;0.5;0;0;0;0;0;0.206897;1;1;0;0;10000;0;0;0;0;0;24;0;0;0;0;0;0;1
0.823529;0.413043;0.794118;1020786;2;0.96;14599.2;817658;387120;2;0.1;119;29;16;59;171;1;0.125;72;0.705882;0.05;0.5;0.5;0.1;1;0.8;42532.75;51;0.0625;80;0.125;2507311;51;0.88;6.125;20;17980;24;26;28;314795;21;16;0.375;73744.44118;11.428571;24;5.029412;21;3;769993;0.25;2142331;0;5;0;0.714286;0;2;0.08;0.205882;0;30000;0.029412;168674.4286;0;0.058824;0.264706;8;0.002415;0;0;0;0;0;0
0.666667;0.741573;1;473583;2;2.5;45849.5;640830;219127;2;0.5;61;25;4;61;66;1;0.5;65;0.666667;0.5;1;1;0.5;2;1;118395.75;25;0.5;57;0.5;565282;25;0;12.25;4;0;4;25;4;302300;25;2.5;0.5;94213.66667;14.25;5;11;25;0;219127;0.5;473583;0;2;0;0.25;0.333333;0;0;0;0;727000;0;336957.5;1;0.333333;0.666667;354;0.078652;0;0;3;0;0;1
0.571429;0.362205;0.857143;59;1;3.5;37148.5;3000;59;1;0.5;33;4;1;5;46;1;1;6;0.142857;0.5;1;1;0.5;1;0.5;59;4;1;41;1;474982;4;0;3.5;2;0;1;17;4;3000;17;8.2;0;67854.57143;6.833333;7;6.571429;17;0;279546;0;400685;0;4;0;0.5;0.25;0;0.5;0.571429;0;332000;0.142857;138554;1;0.142857;0.285714;4;0.031496;0;0;2;0;0;0
0.850746;0.761099;0.880597;5281909;18;2;20844.29546;4757524;1151336;26;0.439024;302;1;34;298;360;0.692308;0.529412;388;0.850746;0.243902;0.555556;0.384615;0.634146;10;0.829268;92665.07018;17;0.294118;46;0.764706;5564963;1;0.795455;9.6;41;13897.10345;57;63;57;1900000;26;15.5;0.6;83059.14925;7.666667;88;5.373134;63;7;589081;0.55;4647814;0;19;0.031569;0.666667;0.178571;9;0.409091;0.014925;0.364075;1900000;0.014925;110971.6667;6;0;0.014925;19;0.002114;2;2;4;0;2;0
0.294118;0.247093;0.705882;129792;1;0.4;8091.6;119027;63837;1;0.333333;20;34;2;17;85;1;0.5;22;0.235294;0;0;0;0.333333;0;0.666667;32448;358;0;32;0.5;599180;358;0;3.166667;3;5687.25;4;28;5;59000;11;5.666667;0;35245.88235;4;2;5;6;0;63837;0;558722;0;4;0;0.5;1;0;0.6;0.470588;0;120000;0;59863.375;0;0.117647;0.588235;34;0.005814;4;9;1;1;4;1
0.333333;0.03252;0.444444;0;1;0.428571;2857.142857;25000;0;1;0.5;3;59;2;3;4;1;0.5;7;0.333333;0;0;0;0.5;0;1;0;4518;0;0;0.5;24380;0;0.428571;0;2;3333.333333;3;1;3;10000;0;0.5;0;2708.888889;0;3;0.444444;1;1;4000;0;4380;0;0;0;0;0.5;0;0.285714;0.222222;0;10000;0.111111;30000;0;0.222222;0.111111;10;0;0;0;0;0;0;1
0.428571;0.231638;0.857143;10708;0;0;0;10708;10708;0;0;27;959;0;1;41;0;0;2;0.142857;0;0;0;0;0;0;10708;1548;0;15;0;433879;1548;0;2.5;0;0;1;21;3;10708;8;6.666667;0.5;61982.71429;3;0;5.857143;21;0;35220;0;433879;0;2;0;0.2;0;0;0;0.857143;0;90044;0;46350.4;0;0.428571;0.857143;959;0.00565;0;0;0;0;0;0
0.6;0.545852;1;0;2;0;0;0;0;2;1;102;29;2;0;125;1;1;0;0;1;1;1;1;2;1;0;29;1;54;1;592981;29;0;11.5;2;0;0;43;3;0;31;25;0;118596.2;18;0;25;43;0;146714;0;592981;0;3;0;0.333333;0;0;0;1;0;203884;0;156541;0;0.4;0.6;1380;0.135371;0;0;0;0;0;0
1;0.02;1;0;0;0;0;0;0;0;0;1;3456;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3456;0;1;0;7294;3456;0;1;0;0;0;1;1;0;1;1;1;7294;1;0;1;1;0;7294;0;7294;0;0;0;0;0;0;0;1;0;5420;0;5420;0;0;1;3810;0;0;0;0;0;0;1
0.733333;0.421818;0.933333;223656;0;1;5296;211233;85411;1;0;59;62;1;34;116;0;0;49;0.666667;0;0;0;1;0;1;22365.6;2082;0;57;1;564314;1346;1;5.5;1;5296;10;44;11;82644;25;16.4;0;37620.93333;6.333333;1;7.733333;25;1;88958;0;559018;5296;10;0.009474;0.777778;0;0;1;0.333333;1;59077;0;57034.55556;0;0.2;0.266667;68;0.003636;0;0;0;0;0;0
0.75;0.717391;0.75;0;1;1.5;4550;11589;0;1;1;31;6;1;1;33;1;1;2;0.25;1;1;1;1;1;1;0;1070;1;9;1;103400;6;0.5;1.5;1;0;1;21;3;11589;9;10.666667;0.5;25850;9;3;8.25;21;1;38054;0.5;94300;0;2;0;1;0;1;0.5;0.5;0;11589;0;31310;1;0;0;23;0.195652;0;0;4;0;0;0
